#datatype measurement,double,dateTime:RFC3339
measurement,value,time
Gaz_Analyzer_9,0.238,2022-01-14T06:01:16Z
Gaz_Analyzer_9,0.238,2022-01-14T06:02:01Z
Gaz_Analyzer_9,0.35,2022-01-14T06:06:01Z
Gaz_Analyzer_9,0.35,2022-01-14T06:10:01Z
Gaz_Analyzer_9,0.35,2022-01-14T06:15:11Z
Gaz_Analyzer_9,0.294,2022-01-14T06:24:01Z
Gaz_Analyzer_9,0.294,2022-01-14T06:26:01Z
Gaz_Analyzer_9,0.294,2022-01-14T06:40:03Z
Gaz_Analyzer_9,0.161,2022-01-14T07:00:02Z
Gaz_Analyzer_9,0.23,2022-01-14T07:20:03Z
Gaz_Analyzer_9,0.18,2022-01-14T07:40:03Z
Gaz_Analyzer_9,0.138,2022-01-14T08:00:03Z
Gaz_Analyzer_9,0.12,2022-01-14T08:20:03Z
Gaz_Analyzer_9,0.157,2022-01-14T08:40:03Z
Gaz_Analyzer_9,0.183,2022-01-14T09:00:04Z
Gaz_Analyzer_9,0.205,2022-01-14T09:20:03Z
Gaz_Analyzer_9,0.197,2022-01-14T09:40:03Z
Gaz_Analyzer_9,0.138,2022-01-14T10:00:04Z
Gaz_Analyzer_9,0.123,2022-01-14T10:20:02Z
Gaz_Analyzer_9,0.165,2022-01-14T10:40:03Z
Gaz_Analyzer_9,0.183,2022-01-14T11:00:03Z
Gaz_Analyzer_9,0.199,2022-01-14T11:20:03Z
Gaz_Analyzer_9,0.142,2022-01-14T11:40:03Z
Gaz_Analyzer_9,0.116,2022-01-14T12:00:02Z
Gaz_Analyzer_9,0.176,2022-01-14T12:20:02Z
Gaz_Analyzer_9,0.175,2022-01-14T12:40:02Z
Gaz_Analyzer_9,0.175,2022-01-14T12:44:01Z
Gaz_Analyzer_9,0.112,2022-01-14T13:00:05Z
Gaz_Analyzer_9,0.114,2022-01-14T13:48:01Z
Gaz_Analyzer_9,0.114,2022-01-14T13:54:04Z
Gaz_Analyzer_9,0.114,2022-01-14T13:56:02Z
Gaz_Analyzer_9,0.114,2022-01-14T13:58:03Z
Gaz_Analyzer_9,0.193,2022-01-14T14:20:03Z
Gaz_Analyzer_9,0.246,2022-01-14T14:40:03Z
Gaz_Analyzer_9,0.229,2022-01-14T15:00:03Z
Gaz_Analyzer_9,0.177,2022-01-14T15:20:01Z
Gaz_Analyzer_9,0.198,2022-01-14T15:40:02Z
Gaz_Analyzer_9,0.132,2022-01-14T16:00:05Z
Gaz_Analyzer_9,0.113,2022-01-14T16:20:02Z
